69Ori, radec, 6:12:03.29, 16:07:50.2
GamMon, radec, 6:14:51.31, -6:16:28.9
EtaGem, radec, 6:14:52.61, 22:30:24.1
KapAur, radec, 6:15:22.70, 29:29:53.2
KapCol, radec, 6:16:33.10, -35:08:26.2
1Lyn, radec, 6:17:54.79, 61:30:55.1
2Lyn, radec, 6:19:37.39, 59:00:38.9
ZetCMa, radec, 6:20:18.79, -30:03:47.9
DelCol, radec, 6:22:06.79, -33:26:11.0
BetCMa, radec, 6:22:42.00, -17:57:20.9
MuGem, radec, 6:22:57.60, 22:30:49.0
EpsMon, radec, 6:23:46.10, 4:35:34.1
AlpCar, radec, 6:23:57.10, -52:41:44.9
Psi1Aur, radec, 6:24:53.90, 49:17:17.2
LamCMa, radec, 6:28:10.10, -32:34:48.0
BetMon, radec, 6:28:49.01, -7:01:58.1
NuGem, radec, 6:28:57.79, 20:12:43.9
Xi1CMa, radec, 6:31:51.31, -23:25:05.9
13Mon, radec, 6:32:54.19, 7:19:59.2
Xi2CMa, radec, 6:35:03.41, -22:57:52.9
Nu2CMa, radec, 6:36:40.99, -19:15:20.9
GamGem, radec, 6:37:42.70, 16:23:57.1
NuPup, radec, 6:37:45.70, -43:11:46.0
Nu3CMa, radec, 6:37:53.40, -18:14:15.0
Psi2Aur, radec, 6:39:19.90, 42:29:20.0
15Mon, radec, 6:40:58.70, 9:53:44.2
EpsGem, radec, 6:43:55.90, 25:07:52.0
30Gem, radec, 6:43:59.30, 13:13:40.1
AlpCMa | slimJG | AlpCMa, radec, 6:45:08.90, -16:42:58.0
XiGem, radec, 6:45:17.40, 12:53:44.2
12Lyn, radec, 6:46:14.09, 59:26:30.1
17Mon, radec, 6:47:19.80, 8:02:13.9
18Mon, radec, 6:47:51.60, 2:24:43.9
AlpPic, radec, 6:48:11.40, -61:56:29.0
KapCMa, radec, 6:49:50.50, -32:30:31.0
TauPup, radec, 6:49:56.21, -50:36:52.9
TheGem, radec, 6:52:47.30, 33:57:40.0
15CMa, radec, 6:53:32.90, -20:13:27.1
Omi1CMa, radec, 6:54:07.90, -24:11:02.0
TheCMa, radec, 6:54:11.40, -12:02:19.0
38Gem, radec, 6:54:38.69, 13:10:40.1
PiCMa, radec, 6:55:37.39, -20:08:11.0
MuCMa, radec, 6:56:06.60, -14:02:37.0
IotCMa, radec, 6:56:08.21, -17:03:15.1
15Lyn, radec, 6:57:16.49, 58:25:21.0
16Lyn, radec, 6:57:37.10, 45:05:39.1
EpsCMa, radec, 6:58:37.49, -28:58:19.9
SigCMa, radec, 7:01:43.10, -27:56:04.9
19Mon, radec, 7:02:54.79, -4:14:21.1
Omi2CMa, radec, 7:03:01.49, -23:49:59.9
GamCMa, radec, 7:03:45.50, -15:37:59.9
ZetGem, radec, 7:04:06.50, 20:34:13.1
DelCMa, radec, 7:08:23.50, -26:23:35.9
Gam2Vol, radec, 7:08:44.90, -70:29:56.0
20Mon, radec, 7:10:13.70, -4:14:13.9
TauGem, radec, 7:11:08.40, 30:14:43.1
63Aur, radec, 7:11:39.29, 39:19:14.2
DelMon, radec, 7:11:51.89, -0:29:34.1
51Gem, radec, 7:13:22.30, 16:09:32.0
27CMa, radec, 7:14:15.19, -26:21:09.0
OmeCMa, radec, 7:14:48.70, -26:46:22.1
DelVol, radec, 7:16:49.80, -67:57:25.9
PiPup, radec, 7:17:08.59, -37:05:51.0
LamGem, radec, 7:18:05.59, 16:32:25.1
29CMa, radec, 7:18:40.30, -24:33:32.0
TauCMa, radec, 7:18:42.41, -24:57:15.1
DelGem, radec, 7:20:07.39, 21:58:55.9
EtaCMa, radec, 7:24:05.71, -29:18:11.2
EpsCMi, radec, 7:25:38.90, 9:16:34.0
IotGem, radec, 7:25:43.61, 27:47:53.2
21Lyn, radec, 7:26:42.79, 49:12:41.0
BetCMi, radec, 7:27:09.00, 8:17:21.8
GamCMi, radec, 7:28:09.79, 8:55:32.2
RhoGem, radec, 7:29:06.70, 31:47:03.8
SigPup, radec, 7:29:13.80, -43:18:05.0
6CMi, radec, 7:29:47.81, 12:00:24.1
UpsGem, radec, 7:35:55.30, 26:53:44.9
OmiGem, radec, 7:39:09.91, 34:35:03.1
AlpCMi, radec, 7:39:18.10, 5:13:30.0
AlpMon, radec, 7:41:14.81, -9:33:04.0
ZetVol, radec, 7:41:49.20, -72:36:22.0
24Lyn, radec, 7:43:00.41, 58:42:37.1
SigGem, radec, 7:43:18.70, 28:53:01.0
1Pup, radec, 7:43:32.40, -28:24:40.0
3Pup, radec, 7:43:48.50, -28:57:16.9
KapGem, radec, 7:44:26.81, 24:23:53.2
BetGem, radec, 7:45:18.91, 28:01:34.0
81Gem, radec, 7:46:07.39, 18:30:36.0
OmiPup, radec, 7:48:05.21, -25:56:13.9
XiPup, radec, 7:49:17.71, -24:51:34.9
PhiGem, radec, 7:53:29.81, 26:45:56.9
ChiCar, radec, 7:56:46.70, -52:58:55.9
11Pup, radec, 7:56:51.50, -22:52:48.0
27Mon, radec, 7:59:44.09, -3:40:46.9
28Mon, radec, 8:01:13.30, -1:23:33.0
ChiGem, radec, 8:03:31.10, 27:47:39.1
ZetPup, radec, 8:03:35.09, -40:00:11.9
RhoPup, radec, 8:07:32.59, -24:18:15.1
EpsVol, radec, 8:07:55.80, -68:37:01.9
27Lyn, radec, 8:08:27.41, 51:30:24.1
ZetMon, radec, 8:08:35.59, -2:59:02.0
16Pup, radec, 8:09:01.61, -19:14:42.0
Gam1Vel, radec, 8:09:29.30, -47:20:44.9
Gam2Vel, radec, 8:09:31.99, -47:20:12.1
19Pup, radec, 8:11:16.30, -12:55:36.8
20Pup, radec, 8:13:19.99, -15:47:17.9
BetCnc, radec, 8:16:30.91, 9:11:08.2
AlpCha, radec, 8:18:31.61, -76:55:10.9
TheCha, radec, 8:20:38.50, -77:29:03.8
EpsCar, radec, 8:22:30.79, -59:30:34.9
31Lyn, radec, 8:22:50.09, 43:11:17.2
BetVol, radec, 8:25:44.21, -66:08:12.8
OmiUMa, radec, 8:30:15.91, 60:43:05.2
DelHya, radec, 8:37:39.41, 5:42:13.0
SigHya, radec, 8:38:45.41, 3:20:29.0
ZetPyx, radec, 8:39:42.50, -29:33:40.0
6Hya, radec, 8:40:01.51, -12:28:31.1
BetPyx, radec, 8:40:06.19, -35:18:29.9
Pi2UMa, radec, 8:40:12.79, 64:19:40.1
9Hya, radec, 8:41:43.30, -15:56:35.9
EtaHya, radec, 8:43:13.49, 3:23:55.0
GamCnc, radec, 8:43:17.09, 21:28:07.0
AlpPyx, radec, 8:43:35.50, -33:11:11.0
DelCnc, radec, 8:44:41.09, 18:09:15.1
DelVel, radec, 8:44:42.19, -54:42:29.9
12Hya, radec, 8:46:22.51, -13:32:52.1
IotCnc, radec, 8:46:41.81, 28:45:36.0
EpsHya, radec, 8:46:46.61, 6:25:08.0
RhoHya, radec, 8:48:25.99, 5:50:16.1
GamPyx, radec, 8:50:31.90, -27:42:36.0
ZetHya, radec, 8:55:23.59, 5:56:44.2
DelPyx, radec, 8:55:31.51, -27:40:54.8
AlpCnc, radec, 8:58:29.21, 11:51:28.1
IotUMa, radec, 8:59:12.41, 48:02:30.1
AlpVol, radec, 9:02:26.81, -66:23:46.0
RhoUMa, radec, 9:02:32.69, 67:37:46.9
KapUMa, radec, 9:03:37.49, 47:09:24.1
OmeHya, radec, 9:05:58.39, 5:05:31.9
